country,code,year,month,date,gasoline_price_usd_liter
Algeria,DZA,2024,10,2024-10-06,0.3244589011302245
Algeria,DZA,2024,11,2024-11-06,0.3244589011302245
Algeria,DZA,2024,12,2024-12-07,0.3244589011302245
Argentina,ARG,2015,12,2015-12-01,0.9755243406973066
Argentina,ARG,2016,1,2016-01-01,0.8897438056158512
Argentina,ARG,2016,2,2016-02-01,0.8863252935283457
Argentina,ARG,2016,3,2016-03-01,0.7712185160246965
Argentina,ARG,2016,4,2016-04-01,1.042755917947805
Argentina,ARG,2016,5,2016-05-01,0.9531608357081481
Argentina,ARG,2016,6,2016-06-01,0.9860727401933118
Argentina,ARG,2016,7,2016-07-01,0.78498262171791
Argentina,ARG,2016,8,2016-08-01,0.8107959878512098
Argentina,ARG,2016,9,2016-09-01,0.7903461193530986
Argentina,ARG,2016,10,2016-10-01,0.9064729613852713
Argentina,ARG,2016,11,2016-11-01,0.802685394906223
Argentina,ARG,2016,12,2016-12-01,0.8619370931150596
Argentina,ARG,2017,1,2017-01-03,1.0394456894839863
Argentina,ARG,2017,2,2017-02-03,1.0424886604948964
Argentina,ARG,2017,3,2017-03-03,1.097001643244051
Argentina,ARG,2017,4,2017-04-03,1.2018809243347437
Argentina,ARG,2017,5,2017-05-03,1.258081177699116
Argentina,ARG,2017,6,2017-06-03,1.1910445873221873
Argentina,ARG,2017,7,2017-07-03,1.160857586789113
Argentina,ARG,2017,8,2017-08-03,1.1744815598993559
Argentina,ARG,2017,9,2017-09-03,1.1552656341062573
Argentina,ARG,2017,10,2017-10-03,1.131195428828133
Argentina,ARG,2017,11,2017-11-03,1.2922453270132748
Argentina,ARG,2017,12,2017-12-03,1.364491226588227
Argentina,ARG,2018,1,2018-01-03,1.2960269659544958
Argentina,ARG,2018,2,2018-02-03,1.2516033288832775
Argentina,ARG,2018,3,2018-03-03,1.3310198058713174
Argentina,ARG,2018,4,2018-04-03,1.3357328771237715
Argentina,ARG,2018,5,2018-05-03,1.1093800933902875
Argentina,ARG,2018,6,2018-06-03,1.1158656900293222
Argentina,ARG,2018,7,2018-07-03,1.0780547478489342
Argentina,ARG,2018,8,2018-08-03,1.1804857006619434
Argentina,ARG,2018,9,2018-09-03,0.785037607544848
Argentina,ARG,2018,10,2018-10-03,1.0796892416110586
Argentina,ARG,2018,11,2018-11-03,1.2202756599824383
Argentina,ARG,2018,12,2018-12-03,0.8499448609420177
Argentina,ARG,2019,1,2019-01-03,0.8677702521163416
Argentina,ARG,2019,2,2019-02-03,1.0415562459807401
Argentina,ARG,2019,3,2019-03-03,0.9474763094611586
Argentina,ARG,2019,4,2019-04-03,1.0726205273093705
Argentina,ARG,2019,5,2019-05-03,1.0552225509888398
Argentina,ARG,2019,6,2019-06-03,1.1078814102637395
Argentina,ARG,2019,7,2019-07-03,1.1591268584774213
Argentina,ARG,2019,8,2019-08-03,0.7763320449080747
Argentina,ARG,2019,9,2019-09-03,0.8629957197868134
Argentina,ARG,2019,10,2019-10-03,0.8293092704129559
Argentina,ARG,2019,11,2019-11-03,0.8471405708681594
Argentina,ARG,2019,12,2019-12-03,0.9036267758640506
Argentina,ARG,2020,1,2020-01-03,0.9369387613326797
Argentina,ARG,2020,2,2020-02-03,0.9280450500177202
Argentina,ARG,2020,3,2020-03-03,0.860494484854586
Argentina,ARG,2020,4,2020-04-03,0.87555135781423
Argentina,ARG,2020,5,2020-05-03,0.8459955026498123
Argentina,ARG,2020,6,2020-06-03,0.8219993888578304
Argentina,ARG,2020,7,2020-07-03,0.8000857389912446
Argentina,ARG,2020,8,2020-08-03,0.788770586272391
Argentina,ARG,2020,9,2020-09-03,0.7959776762251471
Argentina,ARG,2020,10,2020-10-03,0.8103080482074582
Argentina,ARG,2020,11,2020-11-03,0.8163566807552747
