year,oil_price
,CL=F
2015,48.76134922390892
2016,43.435800033569336
2017,50.85326709215384
2018,64.94745023507046
2019,57.041825430733816
2020,39.3442687498251
2021,68.1060319930788
2022,94.33147400023928
2023,77.59712014770508
2024,75.75801588997008
